zip,lat,lon
02101,42.3601,-71.0589
02102,42.3601,-71.0589
02103,42.3601,-71.0589
02104,42.3601,-71.0589
02105,42.3601,-71.0589
02106,42.3601,-71.0589
02107,42.3601,-71.0589
02108,42.3588,-71.0641
02109,42.3637,-71.0526
02110,42.3567,-71.0520
02111,42.3513,-71.0602
02112,42.3601,-71.0589
02113,42.3664,-71.0543
02114,42.3617,-71.0693
02115,42.3432,-71.0858
02116,42.3488,-71.0791
02117,42.3601,-71.0589
02118,42.3381,-71.0697
02119,42.3228,-71.0836
02120,42.3307,-71.0950
02121,42.3075,-71.0860
02122,42.2956,-71.0567
02123,42.3601,-71.0589
02124,42.2812,-71.0664
02125,42.3064,-71.0510
02126,42.2698,-71.0913
02127,42.3344,-71.0334
02128,42.3661,-71.0104
02129,42.3784,-71.0614
02130,42.3102,-71.1141
02131,42.2838,-71.1177
02132,42.2757,-71.1531
02133,42.3601,-71.0589
02134,42.3535,-71.1307
02135,42.3526,-71.1499
02136,42.2567,-71.1257
02137,42.3601,-71.0589
02163,42.3669,-71.1256
02196,42.3601,-71.0589
02199,42.3473,-71.0822
02201,42.3601,-71.0589
02203,42.3601,-71.0589
02204,42.3601,-71.0589
02205,42.3601,-71.0589
02206,42.3601,-71.0589
02207,42.3601,-71.0589
02208,42.3601,-71.0589
02209,42.3601,-71.0589
02210,42.3472,-71.0445
02211,42.3601,-71.0589
02212,42.3601,-71.0589
02215,42.3484,-71.1007
02217,42.3601,-71.0589
02222,42.3601,-71.0589
02228,42.3601,-71.0589
02238,42.3601,-71.0589
02241,42.3601,-71.0589
02266,42.3601,-71.0589
02283,42.3601,-71.0589
02284,42.3601,-71.0589
02293,42.3601,-71.0589
02297,42.3601,-71.0589
02298,42.3601,-71.0589
02138,42.3765,-71.1257
02139,42.3656,-71.1015
02140,42.3940,-71.1322
02141,42.3694,-71.0820
02142,42.3624,-71.0820
02143,42.3794,-71.0986
02144,42.4004,-71.1218
02145,42.3893,-71.0778
02238,42.3765,-71.1100
02163,42.3669,-71.1256
02476,42.4001,-71.1756
02445,42.3314,-71.1284
02446,42.3445,-71.1214
02447,42.3314,-71.1284
02467,42.3198,-71.1614
